variable,region,Source,Series,year,value,Unit,RID
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,1999,143234,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2000,67463,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2000,102830,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2001,67260,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2001,107881,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2002,74019,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2002,115974,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2003,67159,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2003,115207,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2004,73289,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2004,145324,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2005,69430,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2005,112220,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2006,71175,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2006,126175,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2007,66947,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2007,99008,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2008,61696,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2008,121981,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2009,68211,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2009,129124,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2010,64211,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2010,120759,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2011,66086,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2011,156857,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2012,73507,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2012,109456,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2013,59084,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2013,102515,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2014,66350,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2014,105062,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2015,62227,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2015,106179,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2016,66642,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2016,98811,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2017,67776,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2017,142258,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2018,67859,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2018,124719,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2019,66013,Mm3,10
Total Outflows,NORTH_ISLAND,NIWA,Annual June Year,2019,76788,Mm3,10
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,1995,398182,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,1996,416788,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,1997,325039,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,1998,388015,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,1999,365250,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2000,381963,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2001,312144,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2002,349914,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2003,331667,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2004,373421,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2005,328181,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2006,327773,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2007,346519,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2008,311861,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2009,387196,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2010,363664,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2011,371356,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2012,286245,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2013,336453,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2014,369868,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2015,336453,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2016,355225,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2017,322767,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2018,315570,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2019,324207,Mm3,19
Total Inflows,SOUTH_ISLAND,NIWA,Annual June Year,2020,357673,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1995,58206,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1995,339472,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1996,61489,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1996,354649,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1997,62473,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1997,268454,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1998,63801,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1998,322390,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1999,58642,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,1999,313464,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2000,62455,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2000,316043,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2001,58324,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2001,255045,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2002,63286,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2002,282347,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2003,59142,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2003,277129,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2004,61905,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2004,304520,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2005,63338,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2005,268245,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2006,60813,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2006,262089,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2007,60663,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2007,289132,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2008,57540,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2008,263441,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2009,59371,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2009,321128,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2010,58507,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2010,302680,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2011,61921,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2011,316336,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2012,59859,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2012,224400,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2013,58373,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2013,272116,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2014,58466,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2014,311722,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2015,56608,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2015,281213,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2016,57366,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2016,306854,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2017,62197,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2017,265790,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2018,56239,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2018,257312,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2019,58873,Mm3,19
Total Outflows,SOUTH_ISLAND,NIWA,Annual June Year,2019,269868,Mm3,19
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,1995,609284,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,1996,626047,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,1997,521140,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,1998,551626,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,1999,576135,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2000,553504,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2001,487150,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2002,542970,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2003,510983,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2004,595047,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2005,505383,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2006,527380,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2007,511418,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2008,496832,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2009,585183,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2010,548570,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2011,594816,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2012,467170,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2013,498109,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2014,541964,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2015,502392,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2016,520456,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2017,532532,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2018,509241,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2019,462491,Mm3,20
Total Inflows,NEW_ZEALAND,NIWA,Annual June Year,2020,500220,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1995,126266,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1995,481123,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1996,135830,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1996,491713,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1997,133538,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1997,393257,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1998,127759,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1998,423618,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1999,128408,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,1999,456698,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2000,129918,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2000,418873,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2001,125584,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2001,362926,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2002,137305,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2002,398321,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2003,126301,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2003,392336,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2004,135194,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2004,449844,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2005,132768,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2005,380465,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2006,131988,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2006,388264,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2007,127609,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2007,388140,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2008,119236,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2008,385422,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2009,127582,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2009,450251,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2010,122719,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2010,423440,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2011,128006,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2011,473193,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2012,133366,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2012,333856,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2013,117457,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2013,374631,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2014,124816,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2014,416784,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2015,118835,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2015,387391,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2016,124008,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2016,405666,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2017,129974,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2017,408048,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2018,124098,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2018,382031,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2019,124886,Mm3,20
Total Outflows,NEW_ZEALAND,NIWA,Annual June Year,2019,346656,Mm3,20
Change in Ice Volume,NORTHLAND,NIWA,Annual June Year,1995,,Mm3,1
Change in Ice Volume,AUCKLAND,NIWA,Annual June Year,1995,,Mm3,2
Change in Ice Volume,WAIKATO,NIWA,Annual June Year,1995,0,Mm3,3
Change in Ice Volume,BAY_OF_PLENTY,NIWA,Annual June Year,1995,,Mm3,4
Change in Ice Volume,GISBORNE,NIWA,Annual June Year,1995,,Mm3,5
Change in Ice Volume,HAWKES_BAY,NIWA,Annual June Year,1995,,Mm3,6
Change in Ice Volume,TARANAKI,NIWA,Annual June Year,1995,,Mm3,7
Change in Ice Volume,MANAWATU_WHANGANUI,NIWA,Annual June Year,1995,2,Mm3,8
Change in Ice Volume,WELLINGTON,NIWA,Annual June Year,1995,,Mm3,9
Change in Ice Volume,NORTH_ISLAND,NIWA,Annual June Year,1995,2,Mm3,10
Change in Ice Volume,WEST_COAST,NIWA,Annual June Year,1995,824,Mm3,12
Change in Ice Volume,CANTERBURY,NIWA,Annual June Year,1995,1049,Mm3,13
Change in Ice Volume,OTAGO,NIWA,Annual June Year,1995,117,Mm3,14
Change in Ice Volume,SOUTHLAND,NIWA,Annual June Year,1995,35,Mm3,15
Change in Ice Volume,TASMAN,NIWA,Annual June Year,1995,,Mm3,16
Change in Ice Volume,NELSON,NIWA,Annual June Year,1995,,Mm3,17
Change in Ice Volume,MARLBOROUGH,NIWA,Annual June Year,1995,0,Mm3,18
Change in Ice Volume,SOUTH_ISLAND,NIWA,Annual June Year,1995,2025,Mm3,19
Change in Ice Volume,NEW_ZEALAND,NIWA,Annual June Year,1995,2028,Mm3,20
Change in Snow,NORTHLAND,NIWA,Annual June Year,1995,0,Mm3,1
Change in Snow,AUCKLAND,NIWA,Annual June Year,1995,0,Mm3,2
Change in Snow,WAIKATO,NIWA,Annual June Year,1995,-4,Mm3,3
Change in Snow,BAY_OF_PLENTY,NIWA,Annual June Year,1995,-5,Mm3,4
Change in Snow,GISBORNE,NIWA,Annual June Year,1995,0,Mm3,5
Change in Snow,HAWKES_BAY,NIWA,Annual June Year,1995,-5,Mm3,6
Change in Snow,TARANAKI,NIWA,Annual June Year,1995,-4,Mm3,7
Change in Snow,MANAWATU_WHANGANUI,NIWA,Annual June Year,1995,-44,Mm3,8
Change in Snow,WELLINGTON,NIWA,Annual June Year,1995,34,Mm3,9
Change in Snow,NORTH_ISLAND,NIWA,Annual June Year,1995,-28,Mm3,10
Change in Snow,WEST_COAST,NIWA,Annual June Year,1995,-943,Mm3,12
Change in Snow,CANTERBURY,NIWA,Annual June Year,1995,346,Mm3,13
Change in Snow,OTAGO,NIWA,Annual June Year,1995,-186,Mm3,14
Change in Snow,SOUTHLAND,NIWA,Annual June Year,1995,63,Mm3,15
Change in Snow,TASMAN,NIWA,Annual June Year,1995,-84,Mm3,16
Change in Snow,NELSON,NIWA,Annual June Year,1995,0,Mm3,17
Change in Snow,MARLBOROUGH,NIWA,Annual June Year,1995,-23,Mm3,18
Change in Snow,SOUTH_ISLAND,NIWA,Annual June Year,1995,-826,Mm3,19
Change in Snow,NEW_ZEALAND,NIWA,Annual June Year,1995,-853,Mm3,20
Change in Soil Moisture,NORTHLAND,NIWA,Annual June Year,1995,165,Mm3,1
Change in Soil Moisture,AUCKLAND,NIWA,Annual June Year,1995,64,Mm3,2
Change in Soil Moisture,WAIKATO,NIWA,Annual June Year,1995,255,Mm3,3
Change in Soil Moisture,BAY_OF_PLENTY,NIWA,Annual June Year,1995,166,Mm3,4
Change in Soil Moisture,GISBORNE,NIWA,Annual June Year,1995,176,Mm3,5
Change in Soil Moisture,HAWKES_BAY,NIWA,Annual June Year,1995,125,Mm3,6
Change in Soil Moisture,TARANAKI,NIWA,Annual June Year,1995,49,Mm3,7
Change in Soil Moisture,MANAWATU_WHANGANUI,NIWA,Annual June Year,1995,309,Mm3,8
Change in Soil Moisture,WELLINGTON,NIWA,Annual June Year,1995,248,Mm3,9
Change in Soil Moisture,NORTH_ISLAND,NIWA,Annual June Year,1995,1558,Mm3,10
Change in Soil Moisture,WEST_COAST,NIWA,Annual June Year,1995,-89,Mm3,12
Change in Soil Moisture,CANTERBURY,NIWA,Annual June Year,1995,169,Mm3,13
Change in Soil Moisture,OTAGO,NIWA,Annual June Year,1995,-37,Mm3,14
Change in Soil Moisture,SOUTHLAND,NIWA,Annual June Year,1995,-181,Mm3,15
Change in Soil Moisture,TASMAN,NIWA,Annual June Year,1995,42,Mm3,16
Change in Soil Moisture,NELSON,NIWA,Annual June Year,1995,3,Mm3,17
Change in Soil Moisture,MARLBOROUGH,NIWA,Annual June Year,1995,76,Mm3,18
Change in Soil Moisture,SOUTH_ISLAND,NIWA,Annual June Year,1995,-17,Mm3,19
Change in Soil Moisture,NEW_ZEALAND,NIWA,Annual June Year,1995,1540,Mm3,20
Change in Lakes,NORTHLAND,NIWA,Annual June Year,1995,0,Mm3,1
Change in Lakes,AUCKLAND,NIWA,Annual June Year,1995,38,Mm3,2
Change in Lakes,WAIKATO,NIWA,Annual June Year,1995,-132,Mm3,3
Change in Lakes,BAY_OF_PLENTY,NIWA,Annual June Year,1995,38,Mm3,4
Change in Lakes,GISBORNE,NIWA,Annual June Year,1995,0,Mm3,5
Change in Lakes,HAWKES_BAY,NIWA,Annual June Year,1995,7,Mm3,6
Change in Lakes,TARANAKI,NIWA,Annual June Year,1995,0,Mm3,7
Change in Lakes,MANAWATU_WHANGANUI,NIWA,Annual June Year,1995,15,Mm3,8
Change in Lakes,WELLINGTON,NIWA,Annual June Year,1995,33,Mm3,9
Change in Lakes,NORTH_ISLAND,NIWA,Annual June Year,1995,-2,Mm3,10
Change in Lakes,WEST_COAST,NIWA,Annual June Year,1995,-7,Mm3,12
Change in Lakes,CANTERBURY,NIWA,Annual June Year,1995,14,Mm3,13
Change in Lakes,OTAGO,NIWA,Annual June Year,1995,-262,Mm3,14
Change in Lakes,SOUTHLAND,NIWA,Annual June Year,1995,-99,Mm3,15
Change in Lakes,TASMAN,NIWA,Annual June Year,1995,4,Mm3,16
Change in Lakes,NELSON,NIWA,Annual June Year,1995,0,Mm3,17
Change in Lakes,MARLBOROUGH,NIWA,Annual June Year,1995,0,Mm3,18
Change in Lakes,SOUTH_ISLAND,NIWA,Annual June Year,1995,-351,Mm3,19
Change in Lakes,NEW_ZEALAND,NIWA,Annual June Year,1995,-352,Mm3,20
Evapotranspiration,NORTHLAND,NIWA,Annual June Year,1995,8033,Mm3,1
Evapotranspiration,AUCKLAND,NIWA,Annual June Year,1995,2621,Mm3,2
Evapotranspiration,WAIKATO,NIWA,Annual June Year,1995,14401,Mm3,3
Evapotranspiration,BAY_OF_PLENTY,NIWA,Annual June Year,1995,8693,Mm3,4
Evapotranspiration,GISBORNE,NIWA,Annual June Year,1995,5651,Mm3,5
Evapotranspiration,HAWKES_BAY,NIWA,Annual June Year,1995,7548,Mm3,6
Evapotranspiration,TARANAKI,NIWA,Annual June Year,1995,4595,Mm3,7
Evapotranspiration,MANAWATU_WHANGANUI,NIWA,Annual June Year,1995,11734,Mm3,8
Evapotranspiration,WELLINGTON,NIWA,Annual June Year,1995,4784,Mm3,9
Evapotranspiration,NORTH_ISLAND,NIWA,Annual June Year,1995,68060,Mm3,10
Evapotranspiration,WEST_COAST,NIWA,Annual June Year,1995,13573,Mm3,12
Evapotranspiration,CANTERBURY,NIWA,Annual June Year,1995,11082,Mm3,13
Evapotranspiration,OTAGO,NIWA,Annual June Year,1995,10647,Mm3,14
Evapotranspiration,SOUTHLAND,NIWA,Annual June Year,1995,13444,Mm3,15
Evapotranspiration,TASMAN,NIWA,Annual June Year,1995,5513,Mm3,16
Evapotranspiration,NELSON,NIWA,Annual June Year,1995,196,Mm3,17
Evapotranspiration,MARLBOROUGH,NIWA,Annual June Year,1995,3750,Mm3,18
Evapotranspiration,SOUTH_ISLAND,NIWA,Annual June Year,1995,58206,Mm3,19
Evapotranspiration,NEW_ZEALAND,NIWA,Annual June Year,1995,126266,Mm3,20
Inflow from other regions,NORTHLAND,NIWA,Annual June Year,1995,2,Mm3,1
